last_price,ask,ask_size,bid,bid_size
902.1,902.39,1.272,901.29,0.332
902.1,902.3,1.272,901.29,0.332
902.1,902.3,1.272,901.39,1.323
902.1,902.3,1.374,901.39,0.955
902.1,902.3,6.0487,901.28,0.332
902.1,902.4,20,902.3,0.32
902.4,902.4,5.39,902.3,0.32
902.4,902.4,5.39,902.3,0.32
902.4,902,8.64,901.4,0.32
902.4,902,8.64,901.4,0.32
902.4,902,8.64,901.4,0.32
901.4,902,6,901.4,1.05615608
902.4,902.49,20,901.6,0.34270127
902.4,902.4,19.65729873,901.51,0.333
902.4,902,20,901.51,0.2973203
902,902,18.94969147,901.8,0.29005162
902,902,18.70249987,901.8,0.1362193
902,901.9,1.316,901.3,0.12623257
902,902,37.64636592,901.3,0.12623257
902,901.9,1.335,901.3,0.12623257
902,902,37.64636592,901.3,0.12623257
902,901.9,1.265,901.3,0.12623257
902,901.9,1.265,901.3,0.12623257
901.9,901.9,14.71933023,901.3,0.12623257
901.9,901.9,14.71933023,901.3,0.12623257
901.9,901.8,1.339,901.3,0.12623257
901.9,901.8,1.339,901.3,0.12623257
901.9,901.8,1.339,901.3,0.12623257
900.5,901.7,1.252,900.52,9.83
900.5,901.8,1.236,900.7,9.83
900.5,901.5,4.8,900.7,0.16001344
900,900,24.7194887,899.78,4.7559
900,900,23.15041936,899.8,0.09654224
900,900,21.5560775,899.8,0.09654224
900,900,19.39613457,899.3,1.43
899.9,900,19.39613457,898.94,0.542
900,900,15.76774236,899.15,0.333
900,900,27.7303259,898.4,1.64
900,900,21.7911571,898.61,1.598
900,900,20.50662243,898.82,1.709
898.83,899.9,6.19415374,898.83,1.709
899.5,899.9,5.376693,898.83,0.333
899.5,899.5,7.975,898.83,0.333
899.5,899.5,5.60848546,898.83,0.333
899.5,899.5,0.34387347,898.83,0.333
900,899.4,7.9501,898.83,0.333
900,899.4,7.9501,898.28,0.013
900,899.4,7.9501,898.33,1.196
899.4,899.4,7.68551407,898.53,0.147
897.72,899.4,1.34883768,897.72,9.86
898.4,898.4,7.19698931,897.74,0.333
897.74,897.74,0.667,897.73,0.334
897.74,897.74,0.60654791,897.73,0.334
897.9,898.4,7.19698931,897.73,0.334
898.4,898.4,6.13864507,897.73,0.334
898.4,898.4,5.87407567,897.73,0.334
898.4,898.4,8.3695,897.73,0.334
898.4,898.4,0.84479808,897.73,0.334
898.9,899.3,8.42409137,898.41,0.334
898.9,898.9,8.42409137,898.41,0.334
898.9,898.9,5.56467134,898.41,0.334
898.8,898.5,0.56467134,898.41,0.334
898.5,898.5,0.56467134,898.41,0.334
898.5,898.5,0.56467134,898.41,0.334
898.5,898.5,0.56467134,898.42,1.13
898.5,898.5,0.56467134,898.43,0.333
898.5,898.5,0.56467134,898.43,0.333
898.5,898.5,0.56467134,898.43,0.333
898.5,898.5,0.56467134,898.43,0.333
898.5,898.5,20,898.43,1.464
898.5,898.5,20,898.43,0.333
898.43,898.5,1.81176908,898.42,1.13
898.5,898.5,20.77,898.4,1.58417042
898.4,898.5,40.77,898.41,0.332
898.41,898.41,19.668,898.4,0.91717042
898.4,898.41,19.48316996,898.4,1.25137916
898.4,898.41,19.48316996,898.4,0.43137916
898.41,898.41,16.02657899,898.4,6.32677347
898,898.41,16.02657899,898.1,0.333
898.41,898.41,12.83741823,898.1,0.333
898.41,898.41,7.16436464,898.01,0.333
898.5,898.5,40.77,898.02,9.86
898.5,898.5,0.25,898.31,0.333
898.5,898.41,0.25,898.4,3.0688227
898.5,898.5,60.77,898.42,0.332
898.5,898.5,60.77,898.42,0.332
898.41,898.5,60.77,898.4,9.7370227
898.41,898.49,0.031379,898.41,0.333
898.5,898.5,80.77,898.41,0.333
898.41,898.5,80.77,898.4,5.2
898.5,898.5,80.77,898.21,0.332
898.4,898.5,80.77,898.41,0.332
898.41,898.41,0.168,898.31,0.333
898.5,898.5,61.8598459,898.31,0.333
898.5,898.5,36.7398459,898.31,9.85
898.5,898.5,92.4398459,898.3,4.76280257
898.5,898.5,82.4240359,898.4,0.333
898.5,898.5,81.99345469,898.33,6.6615
898.5,898.5,83.25245469,898.42,9.85
898.5,898.5,81.99345469,898.45,9.85
898.5,898.5,81.73122564,898.42,0.332
898.5,898.5,81.73122564,898.45,9.85
898.5,898.5,101.73122564,898.46,9.85
898.4,898.5,101.19975764,898.48,9.85
898.5,898.5,159.93784326,898.43,0.823
898.5,898.5,153.40637526,898.47,0.332
898.5,898.9,20,898.85,0.806
898.9,898.9,19.29928958,898.81,0.333
901.9,901.72,1.61,901.71,9.82
901.71,902,16.07311411,901.72,9.78
902,902,25.07311411,901.75,9.78
901.8,902,15.07311411,901.81,6.6392
902,902,15.07311411,901.81,0.331
902,902,30.58211411,901.92,10.663
902,902,27.02811411,901.93,1.77
902,902,21.76731611,901.95,0.331
902,902,21.76731611,901.96,8.62
901.98,902,21.76731611,901.98,8.42
901.98,902,0.013,901.98,0.23268389
905.7,905.7,7.11899958,902.21,15.192719
902.61,905.78,0.013,902.9,6.6345
902.61,905.78,3.2,904.5,7.9022
902.61,905.78,0.613,905.11,1.36
906.6,906.65,2.85719307,905.4,6.6141
906.66,906.68,3.9332,905.61,1.25
906.18,906.72,0.01,906.01,6.5904
907,906.72,3.856,906.4,0.23914298
906.71,906.72,20,906.6,0.23914298
908.9,908.69,6.66515471,907,6.6084
908.69,908.98,0.013,907.9,8.13
908.69,908.98,0.013,908.1,0.1942385
908.69,908.98,0.013,908.5,6.7678256
908.69,908.98,0.013,908.88,7.9314
908.69,908.97,20.013,908.88,1.356
908.69,908.96,0.331,908.9,0.18410353
908.8,908.98,18.19109457,908.8,7.5582957
908.98,908.98,17.13735035,908.9,8
908.98,908.98,37.13735035,908.9,14.38909496
908.98,908.98,36.08360613,908.9,15.75009496
